Age,Education,Black,Hispanic,Married,NoDegree,RE74,Treatment,RE78
37,11,1,0,1,1,0,1,9930.046
22,9,0,1,0,1,0,1,3595.894
30,12,1,0,0,0,0,1,24909.45
27,11,1,0,0,1,0,1,7506.146
33,8,1,0,0,1,0,1,289.7899
22,9,1,0,0,1,0,1,4056.494
23,12,1,0,0,0,0,1,0
32,11,1,0,0,1,0,1,8472.158
22,16,1,0,0,0,0,1,2164.022
33,12,0,0,1,0,0,1,12418.07
19,9,1,0,0,1,0,1,8173.908
21,13,1,0,0,0,0,1,17094.64
18,8,1,0,0,1,0,1,0
27,10,1,0,1,1,0,1,18739.93
17,7,1,0,0,1,0,1,3023.879
19,10,1,0,0,1,0,1,3228.503
27,13,1,0,0,0,0,1,14581.86
23,10,1,0,0,1,0,1,7693.4
40,12,1,0,0,0,0,1,10804.32
26,12,1,0,0,0,0,1,10747.35
23,11,1,0,0,1,0,1,0
41,14,0,0,0,0,0,1,5149.501
38,9,0,0,0,1,0,1,6408.95
24,11,1,0,0,1,0,1,1991.4
33,11,1,0,0,1,7867.916,1,6281.433
18,10,1,0,0,1,0,1,11163.17
29,11,1,0,1,1,0,1,9642.999
25,11,1,0,0,1,0,1,9897.049
27,10,0,1,0,1,0,1,11142.87
17,10,1,0,0,1,0,1,16218.04
24,11,1,0,0,1,0,1,995.7002
17,10,1,0,0,1,0,1,0
26,11,1,0,1,1,2754.646,1,26372.28
48,4,1,0,0,1,0,1,6551.592
25,11,1,0,1,1,0,1,1574.424
20,12,1,0,0,0,0,1,0
25,12,1,0,0,0,0,1,3191.753
42,14,1,0,0,0,0,1,20505.93
25,5,1,0,0,1,0,1,6181.88
23,12,1,0,1,0,0,1,5911.551
46,8,1,0,1,1,0,1,3094.156
24,10,1,0,0,1,0,1,0
21,12,1,0,0,0,0,1,1254.582
19,9,0,0,0,1,0,1,13188.83
17,8,1,0,0,1,0,1,8061.485
18,8,0,1,1,1,0,1,2787.96
20,11,1,0,0,1,0,1,3972.54
25,11,1,0,1,1,0,1,0
17,8,1,0,0,1,0,1,0
17,9,1,0,0,1,0,1,0
25,5,1,0,0,1,0,1,12187.41
23,12,1,0,0,0,0,1,4843.176
28,8,1,0,0,1,0,1,0
31,11,1,0,1,1,0,1,8087.487
18,11,1,0,0,1,0,1,0
25,12,1,0,0,0,0,1,2348.973
30,11,1,0,1,1,0,1,590.7818
17,10,1,0,0,1,0,1,0
37,9,1,0,0,1,0,1,1067.506
41,4,1,0,1,1,0,1,7284.986
42,14,1,0,1,0,0,1,13167.52
22,11,0,0,0,1,0,1,1048.432
17,8,1,0,0,1,0,1,0
29,8,1,0,0,1,0,1,1923.938
28,10,1,0,0,1,2836.506,1,3196.571
35,10,1,0,0,1,0,1,4666.236
27,11,1,0,0,1,0,1,549.2984
29,4,1,0,0,1,0,1,762.9146
28,9,1,0,0,1,0,1,10694.29
27,11,1,0,0,1,0,1,0
23,7,0,0,0,1,0,1,0
45,5,1,0,1,1,0,1,8546.715
29,13,1,0,0,0,0,1,7479.656
27,9,1,0,0,1,0,1,0
46,13,1,0,0,0,0,1,647.2046
18,6,1,0,0,1,0,1,0
25,12,1,0,0,0,0,1,11965.81
28,15,1,0,0,0,0,1,9598.541
31,9,1,0,0,1,1698.607,1,10363.27
25,11,0,0,0,1,0,1,18783.35
22,12,1,0,0,0,0,1,18678.08
28,11,1,0,0,1,1284.079,1,60307.93
21,9,1,0,0,1,0,1,0
40,11,1,0,0,1,0,1,23005.6
22,11,1,0,0,1,0,1,6456.697
25,12,1,0,0,0,0,1,0
27,9,1,0,1,1,934.4454,1,1773.423
23,10,1,0,1,1,936.4386,1,11233.26
29,10,1,0,0,1,4398.95,1,0
18,12,1,0,0,0,0,1,2321.107
38,12,0,0,0,0,0,1,4941.849
27,13,1,0,0,0,0,1,0
27,8,1,0,0,1,0,1,0
38,11,1,0,0,1,0,1,0
23,8,0,1,0,1,0,1,3881.284
26,11,1,0,0,1,0,1,17230.96
42,9,1,0,1,1,3058.531,1,1294.409
21,12,0,0,0,0,0,1,8048.603
25,8,1,0,0,1,0,1,0
31,11,1,0,1,1,0,1,14509.93
17,10,1,0,0,1,0,1,0
19,8,1,0,0,1,2657.057,1,9970.681
29,14,1,0,0,0,679.6734,1,17814.98
25,11,1,0,0,1,0,1,0
21,12,1,0,0,0,0,1,9983.784
44,11,1,0,0,1,0,1,0
19,10,1,0,0,1,385.2741,1,8124.715
25,12,0,0,0,0,0,1,5587.503
18,10,1,0,0,1,798.9079,1,9737.154
18,9,1,0,0,1,0,1,4482.845
19,9,1,0,0,1,798.9079,1,17685.18
18,9,1,0,0,1,3287.375,1,5010.342
26,11,1,0,1,1,1392.853,1,1460.36
42,12,1,0,0,0,0,1,2456.153
25,10,1,0,0,1,0,1,0
31,9,0,1,0,1,0,1,26817.6
24,10,1,0,0,1,0,1,0
26,10,1,0,0,1,0,1,9265.788
20,12,1,0,0,0,377.5686,1,1652.637
19,10,0,0,0,1,5324.109,1,13829.62
25,11,1,0,0,1,0,1,485.2298
23,8,0,0,1,1,1713.15,1,4232.309
31,12,0,0,0,0,2611.218,1,2484.549
18,11,1,0,0,1,0,1,4814.627
19,11,1,0,0,1,0,1,7458.105
43,9,1,0,0,1,0,1,0
27,13,1,0,0,0,0,1,34099.28
26,11,0,0,0,1,2226.266,1,13385.86
29,10,0,1,0,1,8853.674,1,5112.014
17,9,1,0,0,1,0,1,1953.268
30,11,1,0,0,1,0,1,0
17,10,1,0,0,1,156.9491,1,10641.24
20,12,0,0,1,0,8644.156,1,11656.51
17,9,1,0,0,1,375.1047,1,3621.707
18,12,1,0,0,0,562.657,1,0
21,11,0,1,0,1,1395.39,1,0
30,11,1,0,0,1,1913.034,1,0
18,11,0,1,0,1,5491.535,1,2454.5
20,12,1,0,0,0,9227.559,1,0
20,6,0,1,1,1,10802.98,1,4488.495
20,10,1,0,0,1,11073.09,1,0
25,8,1,0,0,1,37431.66,1,2346.828
17,9,0,0,0,1,1618.15,1,6011.021
18,10,0,1,0,1,2589.042,1,0
19,9,0,1,0,1,6511.124,1,7913.386
19,11,1,0,0,1,192.7995,1,661.1924
